id,platform,comment,likes
1, 小红书,考研压力大时给娃娃换装拍照，特别治愈，瞬间舒缓坏心情,45
2, 小红书,深夜复习看着穿新衣的娃娃，孤单感少了很多，心里格外温暖,32
3, 微博,备考焦虑全靠搭配娃衣解压，暂时抛开学习烦恼轻松不少,28
4, 微博,棉花娃娃就是我的考研搭子，换上可爱衣服学习都更有动力,36
5, 小红书,情绪低落摆弄娃衣特别治愈，专注整理的过程能释放所有压力,21
6, 小红书,独自备考十分孤单，给娃娃穿衣谈心，满满的陪伴感,39
7, 微博,复习疲惫就给娃娃换装，可爱模样一扫所有疲惫与压力,18
8, 微博,备考期间靠收集娃衣调节情绪，是平淡日子里的小美好,25
9, 小红书,娃衣面料柔软亲肤，焦虑时抱着娃娃格外安心治愈,41
10, 小红书,学习委屈难过时，给娃娃换上小裙子，心情立刻变好,33
11, 微博,备考生活枯燥无趣，给娃娃穿搭拍照是最好的情绪出口,22
12, 微博,娃娃像暖心战友，换上帅气穿搭仿佛在给自己加油打气,29
13, 小红书,整理收纳娃衣能平复烦躁情绪，静心效果特别好,16
14, 小红书,考研冲刺压力爆棚，看到可爱娃娃瞬间又有坚持下去的勇气,48
15, 微博,深夜独自学习，有娃娃和娃衣相伴，再也不会觉得孤单,30
16, 微博,给娃娃换装充满仪式感，快速从学习焦虑中抽离出来,24
17, 小红书,拆心仪娃衣快递，所有学习疲惫和负面情绪全都被治愈,52
18, 小红书,学习状态差时摆弄娃衣，放松过后学习效率明显提升,19
19, 微博,娃衣细节精致耐看，看着可爱娃娃冲淡备考所有辛苦,27
20, 微博,压力大失眠睡不着，给娃娃更换穿搭，慢慢平复心绪入睡,35
21, 小红书,备考社交变少，娃娃与娃衣成为我最安心的精神寄托,40
22, 小红书,看到娃娃精致穿搭忍不住微笑，轻松冲淡学习带来的压力,23
23, 微博,搭配娃衣是考研路上的小光亮，轻松疏导各类负面情绪,17
24, 微博,结束一天学习回到宿舍，给娃娃换上睡衣，氛围感温柔十足,31
25, 小红书,情绪低落食欲不振，打理娃衣拍照能够稳定自身情绪,26
26, 小红书,把娃娃当成倾听伙伴，诉说学习烦恼后压力减轻许多,20
27, 微博,考研路上娃衣是快乐源泉，换装过程可以彻底放松身心,38
28, 微博,看着精致穿搭的娃娃，再繁重的复习任务都有信心完成,43
29, 小红书,给娃娃搭配造型摆拍，短暂忘记学业焦虑，调节情绪超管用,15
30, 小红书,娃娃完美填补了独自备考的孤独感，陪伴体验感极佳,34
31, 微博,入手心仪已久的娃衣，开箱瞬间所有辛苦都觉得值得,50
32, 微博,学习间隙简单换装，快速恢复状态，继续投入备考学习,22
33, 小红书,做工精致的娃衣手感极佳，轻松抚平内心烦躁情绪,29
34, 小红书,备考情绪低落，搭配娃娃新款穿搭拍照，心情快速好转,18
35, 微博,有娃娃贴身陪伴，枯燥的备考日子也变得温暖治愈,36
36, 微博,换装如同给情绪放松解压，内心压力一点点慢慢消散,24
37, 小红书,体验不同风格娃衣穿搭，有效缓解内心积攒的焦虑感,21
38, 小红书,深夜备考全程有娃娃相伴，这份陪伴无可替代格外暖心,42
39, 微博,买到颜值超高的娃衣心情大好，连学习积极性都提高不少,46
40, 微博,情绪崩溃之时抱着娃娃，能够快速冷静下来平复心情,30
41, 小红书,搭配娃衣获得满满的成就感，抵消学习带来的挫败感,19
42, 小红书,考研所有坏情绪，都能依靠打理娃衣慢慢排解消散,25
43, 微博,可爱的娃衣如同小太阳，时刻温暖内心调节负面情绪,33
44, 微博,身心疲惫不想学习，给娃娃换新衣立刻重拾坚持的动力,27
45, 小红书,图书馆学习到晚，回宿舍打理娃娃穿搭是最治愈的时刻,37
46, 小红书,软萌可爱的娃衣，治愈考研途中所有不开心与烦心事,20
47, 微博,分享娃娃穿搭到社交平台，收获认可后心情愈发舒畅,31
48, 微博,压力爆棚时整理全部娃衣，慢慢平复内心烦躁不安,16
49, 小红书,娃衣设计细节满满直击内心，看着就让人觉得温柔舒心,44
50, 小红书,备考期间娃衣就是情绪稳定剂，轻松走出焦虑内耗状态,28
51, 微博,娃娃化解学习孤独感，一件新衣就能收获满满幸福感,23
52, 微博,专心搭配娃衣沉浸当下，彻底抛开学习带来的重重压力,17
53, 小红书,实物和预期一致的娃衣，开箱瞬间满心欢喜格外治愈,49
54, 小红书,学习进入瓶颈期心态变差，靠娃娃穿搭调整自身心态,22
55, 微博,心仪风格的娃衣穿搭新颖，日常换装有效舒缓心理压力,26
56, 微博,考研低谷期，娃娃与娃衣成为遮风挡雨的暖心小港湾,39
57, 小红书,给娃娃换上喜庆穿搭，无形中给自己带来满满的好运气,34
58, 小红书,娃娃精致穿搭拍照分享，收获夸赞之后心情格外愉悦,18
59, 微博,情绪压抑想要落泪，试穿搭配娃衣慢慢平复躁动心情,29
60, 微博,优质质感的娃衣触感舒适，焦虑时触摸就能放松身心,21
61, 小红书,每日换装摆拍成为备考专属放松方式，解压治愈两不误,32
62, 小红书,娃娃的陪伴让人不再畏惧考研压力，穿搭之间满是温暖,24
63, 微博,抢到限量款娃衣十分开心，瞬间忘却所有学习压力,51
64, 微博,沉浸娃衣搭配乐趣，短暂逃离枯燥乏味的备考生活,19
65, 小红书,熬夜复习到凌晨，睡衣款娃娃治愈所有疲惫与心酸,40
66, 小红书,简约可爱的娃衣感染力超强，快速驱散内心负面情绪,25
67, 微博,陷入深度焦虑时，逐一试穿娃衣能够快速平复心态,27
68, 微博,把娃娃当作贴心闺蜜，穿搭闲聊排解学习各类烦恼,30
69, 小红书,漫长备考岁月里，娃衣是长久陪伴自己的暖心好物,36
70, 小红书,高品质娃衣开箱体验极佳，长久等待全都变得值得,47
71, 微博,心态浮躁学习低效，摆弄娃衣静心后快速找回学习状态,16
72, 微博,浅色系温柔娃衣赏心悦目，轻松调节低落压抑情绪,22
73, 小红书,娃衣为平淡备考生活增添趣味，每日收获小小幸福感,33
74, 小红书,穿搭娃娃拍摄氛围感照片，感受生活美好忘却学业烦恼,20
75, 微博,怀抱穿搭好的娃娃，轻嗅布料清香瞬间内心归于平静,28
76, 微博,用心设计的娃衣细节满满，视觉治愈感和陪伴感拉满,41
77, 小红书,考研冲刺全靠娃衣提供情绪价值，是专属精神慰藉,38
78, 小红书,多款风格娃衣随心搭配，轻松调节自身低落焦虑心情,17
79, 微博,孤身备考的艰难日子里，娃衣如同微光治愈所有坏情绪,35
80, 微博,穿搭娃衣收获满满自信，冲淡学习失利带来的失落感,24
81, 小红书,在娃圈社群分享娃娃穿搭，收获众多同好夸赞超开心,53
82, 小红书,线下参加娃圈聚会，和好友一起给娃娃换装打卡超欢乐,45
83, 微博,娃圈社群交流穿搭心得，真切感受到强烈的圈子归属感,31
84, 微博,线下娃聚互相点评娃娃穿搭，审美被认可成就感十足,26
85, 小红书,刚入坑十分孤单，加入娃圈社群聊天交友迅速找到同好,29
86, 小红书,社群结识志同道合好友，互相分享娃衣链接与搭配技巧,37
87, 微博,线下聚会一起装扮娃娃，沉浸式感受浓厚的娃圈氛围,23
88, 微博,热心分享购买渠道收获认可，圈子身份认同感愈发强烈,19
89, 小红书,坚持在社群分享日常穿搭，收获认可归属感满满,34
90, 小红书,线下面基娃圈好友，一起换装拍视频相处十分惬意,42
91, 微博,社群晒出娃娃新衣，交流搭配思路氛围轻松又热闹,21
92, 微博,融入娃圈之后，再也不会觉得个人爱好小众冷门,27
93, 小红书,娃聚搭配古风款式娃衣，同好互相点评趣味十足,30
94, 小红书,社群收获绝版娃衣平替资源，结交兴趣相投好朋友,18
95, 微博,频繁分享穿搭收获好评，个人审美得到大家一致认可,25
96, 微博,线下齐聚拍摄古风娃娃写真，满满的娃圈专属仪式感,39
97, 小红书,结识喜好同款风格娃衣的好友，日常交流相处十分合拍,32
98, 小红书,为萌新解答穿搭难题，被大家认可内心格外满足,16
99, 微博,参与线上穿搭互评活动，和圈内好友共同交流进步,22
100, 微博,线下一同拆快递试穿娃衣，沉浸式体验纯正娃圈乐趣,40
101, 小红书,穿搭视频在社群广受喜爱，被索要教程归属感拉满,48
102, 小红书,依托社群结识各地娃友，圈子认同感变得越来越强,24
103, 微博,聚会创意穿搭收获追捧，众多好友主动询问购买链接,36
